2022-01-17 08:01:45.3450;Session;2022-01-17T08:01:45.3457030+01:00;35400;;;
2022-01-17 08:01:45.3496;Detail;2022-01-16T22:00:00.3794350+01:00;2170;832.2091050;2022-01-16T20:00:00.0000000+01:00;0.3835065
2022-01-17 08:01:45.3496;Detail;2022-01-16T23:00:01.2820080+01:00;11050;4135.46250;2022-01-16T21:00:00.0000000+01:00;0.37425
2022-01-17 08:01:45.3496;Detail;2022-01-17T00:00:06.1327020+01:00;11150;3849.09150;2022-01-16T22:00:00.0000000+01:00;0.34521
2022-01-17 08:01:45.3502;Detail;2022-01-17T06:00:00.9700580+01:00;6220;1831.7831580;2022-01-17T04:00:00.0000000+01:00;0.2944989
2022-01-17 08:01:45.3502;Detail;2022-01-17T06:40:20.3821300+01:00;4770;1422.132570;2022-01-17T05:00:00.0000000+01:00;0.298141
2022-01-17 19:42:16.5998;Session;2022-01-17T19:42:16.6004620+01:00;0;;;
2022-01-18 06:16:07.1396;Session;2022-01-18T06:16:07.1393380+01:00;10.55;3461.0611210;;328.06266549763033175355450237
2022-01-18 06:16:07.1440;Detail;2022-01-17T20:12:37.2114460+01:00;0;0.00000;2022-01-17T19:00:00.0000000+01:00;0.336619
2022-01-18 06:16:07.1440;Detail;2022-01-17T20:49:41.8626800+01:00;1.71;0.57561849;2022-01-17T19:00:00.0000000+01:00;0.336619
2022-01-18 06:16:07.1446;Detail;2022-01-17T21:23:15.6175450+01:00;3.61;1.2112633;2022-01-17T20:00:00.0000000+01:00;0.33553
2022-01-18 06:16:07.1446;Detail;2022-01-18T06:00:01.3420340+01:00;3.09;1.018055811;2022-01-18T04:00:00.0000000+01:00;0.3294679
2022-01-18 06:16:07.1446;Detail;2022-01-18T06:15:59.5815620+01:00;2.08;0.65612352;2022-01-18T05:00:00.0000000+01:00;0.315444
